exception_id,module,control_id,control_name,severity,entity_id,detail,exposure_factor,rule_version,detected_at,priority_score
EX00001,M1 Privileged Access,PA-01,Terminated user with active privileged access,Critical,G00191,U0075: DEV_DEPLOY active 126d after termination,2.0,1.3.0,2026-07-01,18.0
EX00002,M1 Privileged Access,PA-01,Terminated user with active privileged access,Critical,G00307,U0125: USER_ADMIN active 158d after termination,2.0,1.3.0,2026-07-01,18.0
EX00003,M1 Privileged Access,PA-01,Terminated user with active privileged access,Critical,G00402,U0164: PROD_ADMIN active 187d after termination,2.0,1.3.0,2026-07-01,18.0
EX00004,M1 Privileged Access,PA-01,Terminated user with active privileged access,Critical,G00426,U0176: DB_ADMIN active 190d after termination,2.0,1.3.0,2026-07-01,18.0
EX00005,M1 Privileged Access,PA-01,Terminated user with active privileged access,Critical,G00595,U0239: DEV_DEPLOY active 7d after termination,1.0777777777777777,1.3.0,2026-07-01,9.7
EX00006,M1 Privileged Access,PA-01,Terminated user with active privileged access,Critical,G00729,U0287: DB_ADMIN active 15d after termination,1.1666666666666667,1.3.0,2026-07-01,10.5
EX00007,M1 Privileged Access,PA-02,Privileged grant without recorded approver,High,G00121,U0049: PAYMENT_APPROVE has no approver on record,1.0,1.3.0,2026-07-01,6.0
EX00008,M1 Privileged Access,PA-02,Privileged grant without recorded approver,High,G00197,U0078: GL_CLOSE has no approver on record,1.0,1.3.0,2026-07-01,6.0
EX00009,M1 Privileged Access,PA-02,Privileged grant without recorded approver,High,G00387,U0159: USER_ADMIN has no approver on record,1.0,1.3.0,2026-07-01,6.0
EX00010,M1 Privileged Access,PA-02,Privileged grant without recorded approver,High,G00396,U0162: DEV_DEPLOY has no approver on record,1.0,1.3.0,2026-07-01,6.0
EX00011,M1 Privileged Access,PA-02,Privileged grant without recorded approver,High,G00419,U0172: PAYMENT_APPROVE has no approver on record,1.0,1.3.0,2026-07-01,6.0
EX00012,M1 Privileged Access,PA-02,Privileged grant without recorded approver,High,G00429,U0177: PROD_ADMIN has no approver on record,1.0,1.3.0,2026-07-01,6.0
EX00013,M1 Privileged Access,PA-02,Privileged grant without recorded approver,High,G00589,U0237: GL_CLOSE has no approver on record,1.0,1.3.0,2026-07-01,6.0
EX00014,M1 Privileged Access,PA-02,Privileged grant without recorded approver,High,G00644,U0255: PROD_ADMIN has no approver on record,1.0,1.3.0,2026-07-01,6.0
EX00015,M1 Privileged Access,PA-03,Self-approved access grant,High,G00114,U0045: PAYMENT_APPROVE approved by grantee,1.5,1.3.0,2026-07-01,9.0
EX00016,M1 Privileged Access,PA-03,Self-approved access grant,High,G00229,U0091: PAYMENT_INITIATE approved by grantee,1.0,1.3.0,2026-07-01,6.0
EX00017,M1 Privileged Access,PA-03,Self-approved access grant,High,G00327,U0133: DB_ADMIN approved by grantee,1.5,1.3.0,2026-07-01,9.0
EX00018,M1 Privileged Access,PA-03,Self-approved access grant,High,G00612,U0245: PROD_ADMIN approved by grantee,1.5,1.3.0,2026-07-01,9.0
EX00019,M1 Privileged Access,PA-03,Self-approved access grant,High,G00706,U0279: DB_ADMIN approved by grantee,1.5,1.3.0,2026-07-01,9.0
EX00020,M1 Privileged Access,PA-04,Dormant privileged account,Medium,U0010,no authentication in analysis window,1.5,1.3.0,2026-07-01,4.5
EX00021,M1 Privileged Access,PA-04,Dormant privileged account,Medium,U0106,no authentication in analysis window,1.5,1.3.0,2026-07-01,4.5
EX00022,M1 Privileged Access,PA-04,Dormant privileged account,Medium,U0149,no authentication in analysis window,1.5,1.3.0,2026-07-01,4.5
EX00023,M1 Privileged Access,PA-04,Dormant privileged account,Medium,U0231,no authentication in analysis window,1.5,1.3.0,2026-07-01,4.5
EX00024,M1 Privileged Access,PA-04,Dormant privileged account,Medium,U0268,no authentication in analysis window,1.5,1.3.0,2026-07-01,4.5
EX00025,M1 Privileged Access,PA-04,Dormant privileged account,Medium,U0293,no authentication in analysis window,1.5,1.3.0,2026-07-01,4.5
EX00026,M1 Privileged Access,PA-05,Segregation-of-duties conflict,Critical,U0004,holds both PAYMENT_INITIATE and PAYMENT_APPROVE,1.3,1.3.0,2026-07-01,11.700000000000001
EX00027,M1 Privileged Access,PA-05,Segregation-of-duties conflict,Critical,U0022,holds both GL_POST and GL_CLOSE,1.3,1.3.0,2026-07-01,11.700000000000001
EX00028,M1 Privileged Access,PA-05,Segregation-of-duties conflict,Critical,U0102,holds both PAYMENT_INITIATE and PAYMENT_APPROVE,1.3,1.3.0,2026-07-01,11.700000000000001
EX00029,M1 Privileged Access,PA-05,Segregation-of-duties conflict,Critical,U0130,holds both DEV_DEPLOY and PROD_ADMIN,1.3,1.3.0,2026-07-01,11.700000000000001
EX00030,M1 Privileged Access,PA-05,Segregation-of-duties conflict,Critical,U0179,holds both PAYMENT_INITIATE and PAYMENT_APPROVE,1.3,1.3.0,2026-07-01,11.700000000000001
EX00031,M1 Privileged Access,PA-05,Segregation-of-duties conflict,Critical,U0180,holds both GL_POST and GL_CLOSE,1.3,1.3.0,2026-07-01,11.700000000000001
EX00032,M1 Privileged Access,PA-05,Segregation-of-duties conflict,Critical,U0276,holds both DEV_DEPLOY and PROD_ADMIN,1.3,1.3.0,2026-07-01,11.700000000000001
EX00033,M1 Privileged Access,PA-07,Expired temporary privileged access remains active,Critical,G00071,U0027: DEV_DEPLOY expired 30d ago,2.0,1.3.0,2026-07-01,18.0
EX00034,M1 Privileged Access,PA-07,Expired temporary privileged access remains active,Critical,G00146,U0060: USER_ADMIN expired 14d ago,1.4666666666666668,1.3.0,2026-07-01,13.200000000000001
EX00035,M1 Privileged Access,PA-07,Expired temporary privileged access remains active,Critical,G00210,U0083: PROD_ADMIN expired 7d ago,1.2333333333333334,1.3.0,2026-07-01,11.100000000000001
EX00036,M1 Privileged Access,PA-07,Expired temporary privileged access remains active,Critical,G00502,U0208: SEC_CONFIG expired 2d ago,1.0666666666666667,1.3.0,2026-07-01,9.6
EX00037,M1 Privileged Access,PA-06,Anomalous after-hours privileged authentication,Medium,U0038,16 night logins (robust z=10.1),2.0,1.3.0,2026-07-01,6.0
EX00038,M1 Privileged Access,PA-06,Anomalous after-hours privileged authentication,Medium,U0053,7 night logins (robust z=4.0),1.4047,1.3.0,2026-07-01,4.2141
EX00039,M1 Privileged Access,PA-06,Anomalous after-hours privileged authentication,Medium,U0115,16 night logins (robust z=10.1),2.0,1.3.0,2026-07-01,6.0
EX00040,M1 Privileged Access,PA-06,Anomalous after-hours privileged authentication,Medium,U0173,6 night logins (robust z=3.4),1.33725,1.3.0,2026-07-01,4.01175
EX00041,M1 Privileged Access,PA-06,Anomalous after-hours privileged authentication,Medium,U0211,15 night logins (robust z=9.4),1.9443,1.3.0,2026-07-01,5.8328999999999995
EX00042,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00017,core-banking standard change has no approval,1.0,1.3.0,2026-07-01,6.0
EX00043,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00041,card-switch standard change has no approval,1.0,1.3.0,2026-07-01,6.0
EX00044,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00057,gl-system normal change has no approval,1.0,1.3.0,2026-07-01,6.0
EX00045,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00083,crm major change has no approval,1.4,1.3.0,2026-07-01,8.399999999999999
EX00046,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00108,gl-system normal change has no approval,1.0,1.3.0,2026-07-01,6.0
EX00047,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00218,card-switch normal change has no approval,1.0,1.3.0,2026-07-01,6.0
EX00048,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00232,card-switch standard change has no approval,1.0,1.3.0,2026-07-01,6.0
EX00049,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00251,crm major change has no approval,1.4,1.3.0,2026-07-01,8.399999999999999
EX00050,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00326,data-warehouse normal change has no approval,1.0,1.3.0,2026-07-01,6.0
EX00051,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00366,gl-system normal change has no approval,1.0,1.3.0,2026-07-01,6.0
EX00052,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00377,card-switch standard change has no approval,1.0,1.3.0,2026-07-01,6.0
EX00053,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00397,card-switch normal change has no approval,1.0,1.3.0,2026-07-01,6.0
EX00054,M2 Change & Logging,CM-02,Approver and implementer are the same individual,High,CHG00012,U0188 approved and implemented on card-switch,1.0,1.3.0,2026-07-01,6.0
EX00055,M2 Change & Logging,CM-02,Approver and implementer are the same individual,High,CHG00026,U0019 approved and implemented on core-banking,1.0,1.3.0,2026-07-01,6.0
EX00056,M2 Change & Logging,CM-02,Approver and implementer are the same individual,High,CHG00050,U0095 approved and implemented on gl-system,1.0,1.3.0,2026-07-01,6.0
EX00057,M2 Change & Logging,CM-02,Approver and implementer are the same individual,High,CHG00085,U0036 approved and implemented on card-switch,1.0,1.3.0,2026-07-01,6.0
EX00058,M2 Change & Logging,CM-02,Approver and implementer are the same individual,High,CHG00089,U0272 approved and implemented on crm,1.0,1.3.0,2026-07-01,6.0
EX00059,M2 Change & Logging,CM-02,Approver and implementer are the same individual,High,CHG00145,U0024 approved and implemented on core-banking,1.0,1.3.0,2026-07-01,6.0
EX00060,M2 Change & Logging,CM-02,Approver and implementer are the same individual,High,CHG00191,U0108 approved and implemented on payments-gateway,1.0,1.3.0,2026-07-01,6.0
EX00061,M2 Change & Logging,CM-02,Approver and implementer are the same individual,High,CHG00294,U0145 approved and implemented on gl-system,1.0,1.3.0,2026-07-01,6.0
EX00062,M2 Change & Logging,CM-02,Approver and implementer are the same individual,High,CHG00312,U0162 approved and implemented on data-warehouse,1.0,1.3.0,2026-07-01,6.0
EX00063,M2 Change & Logging,CM-03,Emergency change without post-implementation review,Medium,CHG00126,emergency change on payments-gateway; no review recorded,1.0,1.3.0,2026-07-01,3.0
EX00064,M2 Change & Logging,CM-03,Emergency change without post-implementation review,Medium,CHG00172,emergency change on core-banking; no review recorded,1.0,1.3.0,2026-07-01,3.0
EX00065,M2 Change & Logging,CM-03,Emergency change without post-implementation review,Medium,CHG00197,emergency change on payments-gateway; no review recorded,1.0,1.3.0,2026-07-01,3.0
EX00066,M2 Change & Logging,CM-03,Emergency change without post-implementation review,Medium,CHG00228,emergency change on gl-system; no review recorded,1.0,1.3.0,2026-07-01,3.0
EX00067,M2 Change & Logging,CM-03,Emergency change without post-implementation review,Medium,CHG00292,emergency change on crm; no review recorded,1.0,1.3.0,2026-07-01,3.0
EX00068,M2 Change & Logging,CM-03,Emergency change without post-implementation review,Medium,CHG00300,emergency change on data-warehouse; no review recorded,1.0,1.3.0,2026-07-01,3.0
EX00069,M2 Change & Logging,CM-03,Emergency change without post-implementation review,Medium,CHG00350,emergency change on card-switch; no review recorded,1.0,1.3.0,2026-07-01,3.0
EX00070,M2 Change & Logging,CM-04,Deployment without matching change record,Critical,DX000,card-switch deployment references no change reference,1.0,1.3.0,2026-07-01,9.0
EX00071,M2 Change & Logging,CM-04,Deployment without matching change record,Critical,DX001,data-warehouse deployment references unknown change CHG90001,1.0,1.3.0,2026-07-01,9.0
EX00072,M2 Change & Logging,CM-04,Deployment without matching change record,Critical,DX002,data-warehouse deployment references no change reference,1.0,1.3.0,2026-07-01,9.0
EX00073,M2 Change & Logging,CM-04,Deployment without matching change record,Critical,DX003,gl-system deployment references unknown change CHG90003,1.0,1.3.0,2026-07-01,9.0
EX00074,M2 Change & Logging,CM-04,Deployment without matching change record,Critical,DX004,data-warehouse deployment references no change reference,1.0,1.3.0,2026-07-01,9.0
EX00075,M2 Change & Logging,CM-04,Deployment without matching change record,Critical,DX005,core-banking deployment references unknown change CHG90005,1.0,1.3.0,2026-07-01,9.0
EX00076,M2 Change & Logging,CM-04,Deployment without matching change record,Critical,DX006,payments-gateway deployment references no change reference,1.0,1.3.0,2026-07-01,9.0
EX00077,M2 Change & Logging,CM-04,Deployment without matching change record,Critical,DX007,payments-gateway deployment references unknown change CHG90007,1.0,1.3.0,2026-07-01,9.0
EX00078,M2 Change & Logging,CM-04,Deployment without matching change record,Critical,DX008,core-banking deployment references no change reference,1.0,1.3.0,2026-07-01,9.0
EX00079,M2 Change & Logging,CM-04,Deployment without matching change record,Critical,DX009,crm deployment references unknown change CHG90009,1.0,1.3.0,2026-07-01,9.0
EX00080,M2 Change & Logging,CM-05,Silent log source,High,SRC001,core-banking/db quiet 104h,2.0,1.3.0,2026-07-01,12.0
EX00081,M2 Change & Logging,CM-05,Silent log source,High,SRC005,payments-gateway/db quiet 109h,2.0,1.3.0,2026-07-01,12.0
EX00082,M2 Change & Logging,CM-05,Silent log source,High,SRC011,card-switch/security quiet 108h,2.0,1.3.0,2026-07-01,12.0
EX00083,M2 Change & Logging,CM-05,Silent log source,High,SRC013,gl-system/db quiet 101h,2.0,1.3.0,2026-07-01,12.0
EX00084,M2 Change & Logging,CM-06,Emergency-change rate spike,Medium,portfolio,emergency rate 38% vs baseline 11% (3.4x),1.7083333333333333,1.3.0,2026-07-01,5.125
EX00085,M2 Change & Logging,CM-07,Implemented change lacks recorded preproduction testing,High,CHG00023,gl-system major change: no completed preproduction test recorded,1.4,1.3.0,2026-07-01,8.399999999999999
EX00086,M2 Change & Logging,CM-07,Implemented change lacks recorded preproduction testing,High,CHG00141,gl-system standard change: no completed preproduction test recorded,1.0,1.3.0,2026-07-01,6.0
EX00087,M2 Change & Logging,CM-07,Implemented change lacks recorded preproduction testing,High,CHG00302,data-warehouse standard change: no completed preproduction test recorded,1.0,1.3.0,2026-07-01,6.0
EX00088,M2 Change & Logging,CM-07,Implemented change lacks recorded preproduction testing,High,CHG00324,crm standard change: no completed preproduction test recorded,1.0,1.3.0,2026-07-01,6.0
EX00089,M2 Change & Logging,CM-07,Implemented change lacks recorded preproduction testing,High,CHG00345,data-warehouse standard change: no completed preproduction test recorded,1.0,1.3.0,2026-07-01,6.0
EX00090,M2 Change & Logging,CM-07,Implemented change lacks recorded preproduction testing,High,CHG00381,payments-gateway standard change: no completed preproduction test recorded,1.0,1.3.0,2026-07-01,6.0
EX00091,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0000507,acct A00333; amount 69.18 unmatched,1.0,1.3.0,2026-07-01,6.0
EX00092,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0000552,acct A00151; amount 234.21 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00093,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0000911,acct A00376; amount 170.13 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00094,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0000919,"acct A00107; amount 2,495.76 unmatched",1.5,1.3.0,2026-07-01,9.0
EX00095,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0000941,acct A00128; amount 494.84 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00096,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0001034,acct A00282; amount 44.72 unmatched,1.0,1.3.0,2026-07-01,6.0
EX00097,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0001226,acct A00290; amount 694.00 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00098,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0001649,acct A00043; amount 609.19 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00099,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0001747,acct A00159; amount 83.90 unmatched,1.0,1.3.0,2026-07-01,6.0
EX00100,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0002008,acct A00163; amount 333.61 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00101,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0002736,acct A00268; amount 884.45 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00102,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0003587,acct A00214; amount 197.95 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00103,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0003707,acct A00034; amount 817.30 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00104,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0003711,acct A00205; amount 638.49 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
EX00105,M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,T0003742,acct A00372; amount 641.34 unmatched,1.2,1.3.0,2026-07-01,7.199999999999999
