module,control_id,control_name,review_priority,evaluation_status,status_reason,eligible_population,exceptions,exceptions_per_1000,review_priority_score
M3 Reconciliation & Payments,TR-01,Ledger item with no processor settlement record,High,Completed,,5266,25,4.75,179.4
M3 Reconciliation & Payments,TR-02,Ledger/processor amount mismatch,High,Completed,,5241,22,4.2,134.4
M1 Privileged Access,PA-01,Terminated user with active privileged access,Critical,Completed,,347,6,17.29,92.2
M2 Change & Logging,CM-04,Deployment without matching change record,Critical,Completed,,366,10,27.32,90.0
M3 Reconciliation & Payments,TR-03,Duplicate transaction identifier,Critical,Completed,,5258,8,1.52,84.6
M1 Privileged Access,PA-05,Segregation-of-duties conflict,Critical,Completed,,285,7,24.56,81.9
M3 Reconciliation & Payments,TR-04,Unreconciled item aged beyond threshold,Medium,Completed,,20,15,750.0,78.87
M2 Change & Logging,CM-01,Change implemented without recorded approval,High,Completed,,400,12,30.0,76.8
M2 Change & Logging,CM-02,Approver and implementer are the same individual,High,Completed,,400,9,22.5,54.0
M1 Privileged Access,PA-07,Expired temporary privileged access remains active,Critical,Completed,,9,4,444.44,51.9
M2 Change & Logging,CM-05,Silent log source,High,Completed,,24,4,166.67,48.0
M1 Privileged Access,PA-02,Privileged grant without recorded approver,High,Completed,,347,8,23.05,48.0
M1 Privileged Access,PA-03,Self-approved access grant,High,Completed,,704,5,7.1,42.0
M2 Change & Logging,CM-07,Implemented change lacks recorded preproduction testing,High,Completed,,400,6,15.0,38.4
M3 Reconciliation & Payments,TR-05,Account transaction-velocity outlier,Medium,Completed,,341,6,17.6,32.23
M1 Privileged Access,PA-04,Dormant privileged account,Medium,Completed,,214,6,28.04,27.0
M3 Reconciliation & Payments,TR-06,Threshold hovering below approval limit,High,Completed,,400,3,7.5,27.0
M1 Privileged Access,PA-06,Anomalous after-hours privileged authentication,Medium,Completed,,214,4,18.69,21.11
M2 Change & Logging,CM-03,Emergency change without post-implementation review,Medium,Completed,,63,7,111.11,21.0
M2 Change & Logging,CM-06,Emergency-change rate spike,Medium,Completed,,1,1,1000.0,5.12
