exception_id,module,control_id,control_name,review_priority,entity_id,detail,exposure_factor,rule_version,detected_at,review_priority_score
EX00041,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00017,core-banking standard change lacks recorded approver and approval timestamp,1.0,1.3.1,2026-07-01,6.0
EX00042,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00041,card-switch standard change lacks recorded approver and approval timestamp,1.0,1.3.1,2026-07-01,6.0
EX00043,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00057,gl-system normal change lacks recorded approver and approval timestamp,1.0,1.3.1,2026-07-01,6.0
EX00044,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00083,crm major change lacks recorded approver and approval timestamp,1.4,1.3.1,2026-07-01,8.399999999999999
EX00045,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00108,gl-system normal change lacks recorded approver and approval timestamp,1.0,1.3.1,2026-07-01,6.0
EX00046,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00218,card-switch normal change lacks recorded approver and approval timestamp,1.0,1.3.1,2026-07-01,6.0
EX00047,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00232,card-switch standard change lacks recorded approver and approval timestamp,1.0,1.3.1,2026-07-01,6.0
EX00048,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00251,crm major change lacks recorded approver and approval timestamp,1.4,1.3.1,2026-07-01,8.399999999999999
EX00049,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00326,data-warehouse normal change lacks recorded approver and approval timestamp,1.0,1.3.1,2026-07-01,6.0
EX00050,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00366,gl-system normal change lacks recorded approver and approval timestamp,1.0,1.3.1,2026-07-01,6.0
EX00051,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00377,card-switch standard change lacks recorded approver and approval timestamp,1.0,1.3.1,2026-07-01,6.0
EX00052,M2 Change & Logging,CM-01,Change implemented without recorded approval,High,CHG00397,card-switch normal change lacks recorded approver and approval timestamp,1.0,1.3.1,2026-07-01,6.0
EX00053,M2 Change & Logging,CM-02,Approver and implementer are the same individual,High,CHG00012,U0188 approved and implemented on card-switch,1.0,1.3.1,2026-07-01,6.0
EX00054,M2 Change & Logging,CM-02,Approver and implementer are the same individual,High,CHG00026,U0019 approved and implemented on core-banking,1.0,1.3.1,2026-07-01,6.0
