injection_id,control_id,entity_id,description
GT-0001,PA-01,G00307,Terminated user retained an active privileged grant
GT-0002,PA-01,G00426,Terminated user retained an active privileged grant
GT-0003,PA-01,G00595,Terminated user retained an active privileged grant
GT-0004,PA-01,G00729,Terminated user retained an active privileged grant
GT-0005,PA-01,G00402,Terminated user retained an active privileged grant
GT-0006,PA-01,G00191,Terminated user retained an active privileged grant
GT-0007,PA-02,G00121,Privileged grant has no recorded approver
GT-0008,PA-02,G00589,Privileged grant has no recorded approver
GT-0009,PA-02,G00396,Privileged grant has no recorded approver
GT-0010,PA-02,G00429,Privileged grant has no recorded approver
GT-0011,PA-02,G00644,Privileged grant has no recorded approver
GT-0012,PA-02,G00387,Privileged grant has no recorded approver
GT-0013,PA-02,G00197,Privileged grant has no recorded approver
GT-0014,PA-02,G00419,Privileged grant has no recorded approver
GT-0015,PA-03,G00114,Access grant was self-approved
GT-0016,PA-03,G00229,Access grant was self-approved
GT-0017,PA-03,G00706,Access grant was self-approved
GT-0018,PA-03,G00612,Access grant was self-approved
GT-0019,PA-03,G00327,Access grant was self-approved
GT-0020,PA-05,U0102,User holds a seeded toxic entitlement pair
GT-0021,PA-05,U0276,User holds a seeded toxic entitlement pair
GT-0022,PA-05,U0022,User holds a seeded toxic entitlement pair
GT-0023,PA-05,U0004,User holds a seeded toxic entitlement pair
GT-0024,PA-05,U0130,User holds a seeded toxic entitlement pair
GT-0025,PA-05,U0180,User holds a seeded toxic entitlement pair
GT-0026,PA-05,U0179,User holds a seeded toxic entitlement pair
GT-0027,PA-07,G00502,Temporary privileged grant remained active after its expiry
GT-0028,PA-07,G00210,Temporary privileged grant remained active after its expiry
GT-0029,PA-07,G00146,Temporary privileged grant remained active after its expiry
GT-0030,PA-07,G00071,Temporary privileged grant remained active after its expiry
GT-0031,PA-04,U0268,Privileged user has no authentication in the window
GT-0032,PA-04,U0231,Privileged user has no authentication in the window
GT-0033,PA-04,U0293,Privileged user has no authentication in the window
GT-0034,PA-04,U0106,Privileged user has no authentication in the window
GT-0035,PA-04,U0149,Privileged user has no authentication in the window
GT-0036,PA-04,U0010,Privileged user has no authentication in the window
GT-0037,PA-06,U0211,Privileged user has a seeded night-login burst
GT-0038,PA-06,U0038,Privileged user has a seeded night-login burst
GT-0039,PA-06,U0115,Privileged user has a seeded night-login burst
GT-0040,CM-01,CHG00377,Implemented change lacks approval
GT-0041,CM-01,CHG00017,Implemented change lacks approval
GT-0042,CM-01,CHG00366,Implemented change lacks approval
GT-0043,CM-01,CHG00083,Implemented change lacks approval
GT-0044,CM-01,CHG00108,Implemented change lacks approval
GT-0045,CM-01,CHG00218,Implemented change lacks approval
GT-0046,CM-01,CHG00397,Implemented change lacks approval
GT-0047,CM-01,CHG00057,Implemented change lacks approval
GT-0048,CM-01,CHG00251,Implemented change lacks approval
GT-0049,CM-01,CHG00041,Implemented change lacks approval
GT-0050,CM-01,CHG00326,Implemented change lacks approval
GT-0051,CM-01,CHG00232,Implemented change lacks approval
GT-0052,CM-02,CHG00050,Approver also implemented the change
GT-0053,CM-02,CHG00026,Approver also implemented the change
